id_en,text_fr,text_clean,row,is_pun,non_pun,back_translation
en_2616,"Les accros du shopping ne meurent pas, ils partent à l'a-vente-ure.","Les accros du shopping ne meurent pas, ils partent à l'a-vente-ure.",1400,0,"Les passionnés d'achats vivent toujours, ils explorent les magasins.","Shopping enthusiasts always live on, they explore the stores."
en_262,Tout le monde connaissait ce savant fou qui sortait en ville couvert d'un chapeau hanté.,Tout le monde connaissait ce savant fou qui sortait en ville couvert d'un chapeau hanté.,1401,0,Chacun se souvenait de cet érudit étrange qui se promenait en ville avec un manteau inhabituel.,
en_262,Le savant fou dans son vieux château a un mystérieux secret… et il ne l’a toujours pas sorti de son château.,Le savant fou dans son vieux château a un mystérieux secret… et il ne l’a toujours pas sorti de son château.,1402,0,"Dans une forêt reculée, un vieil érudit garde précieusement un savoir ancien... et il ne l'a toujours pas partagé avec le monde.",
en_262,Le savant fou qui habitait le vieux chateau cachait un secret sous son chapeau: un crâne chauve-souris.,Le savant fou qui habitait le vieux chateau cachait un secret sous son chapeau: un crâne chauve-souris.,1403,0,Le chercheur étrange résidant dans l'ancien manoir gardait une énigme sous son manteau: une clé mystérieuse.,
en_2622,"Les vieux engins de formation ne meurent jamais, ils sont juste déraillés.","Les vieux engins de formation ne meurent jamais, ils sont juste déraillés.",1404,0,"Les anciens équipements éducatifs ne disparaissent pas, ils sont simplement obsolètes.",
en_2622,"Les vieux ingénieurs du train ne meurent jamais, ils déraillent juste.","Les vieux ingénieurs du train ne meurent jamais, ils déraillent juste.",1405,0,Les vieux capitaines de navires poursuivent leur route sans changer de direction.,
en_2622,"Les vieux mécaniciens de train ne meurent jamais, seulement, ils sont déraillés.","Les vieux mécaniciens de train ne meurent jamais, seulement, ils sont déraillés.",1406,0,"Les vieux marins ne sont jamais oubliés, mais ils quittent la mer.",
en_2622,"Les vieux concepteurs de trains ne meurent jamais, ils sont juste déraillés.","Les vieux concepteurs de trains ne meurent jamais, ils sont juste déraillés.",1407,0,"Les vieux instituteurs poursuivent, ils touchent maintenant leur retraite.",
en_2626,"Après s'être fait farfeluer par ses amis et avoir été frappé avec un panier, Aron savait qu'ils avaient un sens de l'humour en osier.","Après s'être fait farfeluer par ses amis et avoir été frappé avec un panier, Aron savait qu'ils avaient un sens de l'humour en osier.",1408,0,"Après avoir discuté longuement avec ses amis et avoir reçu un message, Aron comprit qu'ils partageaient un intérêt commun pour l'art.",
en_2630,Les pionniers nucléaires ont découvert un élément de surprise.,Les pionniers nucléaires ont découvert un élément de surprise.,1409,0,Les chercheurs en physique ont identifié un phénomène inattendu.,
en_2630,Les premiers expérimentateurs nucléaires ont découvert un élément de surprise.,Les premiers expérimentateurs nucléaires ont découvert un élément de surprise.,1410,0,Les premiers aventuriers spatiaux ont exploré un univers de mystères.,The first space adventurers explored a universe of mysteries.
en_2632,"Quand des pièces de monnaie sont tombées dans la pâte, c'est un gâteau riche.","Quand des pièces de monnaie sont tombées dans la pâte, c'est un gâteau riche.",1411,0,"Lorsque des fruits secs ont été ajoutés à la pâte, c'est un gâteau délicieux.",
en_2632,"Lorsque des pièces de monnaie sont tombées dans la pâte, il s'est avéré que le gâteau était riche.","Lorsque des pièces de monnaie sont tombées dans la pâte, il s'est avéré que le gâteau était riche.",1412,0,"Lorsque les épices ont été ajoutées à la préparation, le mets s'est avéré raffiné.",
en_2632,"Quand certaines pièces sont tombées dans la pâte, il s'est avéré être un gâteau riche.","Quand certaines pièces sont tombées dans la pâte, il s'est avéré être un gâteau riche.",1413,0,"Lorsque quelques ingrédients inattendus ont été ajoutés à la pâte, le résultat fut un gâteau savoureux.",
en_2651,Le professeur de maths était un bon danseur - il avait un algorithme.,Le professeur de maths était un bon danseur - il avait un algorithme.,1414,0,Le maître de maths était un excellent enseignant - il avait une méthode.,
en_2651,Le prof de maths était un bon danseur - il avait un algorithme.,Le prof de maths était un bon danseur - il avait un algorithme.,1415,0,Le jardinier était un expert en plantes - il possédait un savoir-faire.,
en_2651,Le professeur de maths était un bon danseur - il possédait un algorithme.,Le professeur de maths était un bon danseur - il possédait un algorithme.,1416,0,L'enseignant de sciences était un bon joueur de tennis - il s'entraînait souvent.,
en_2651,Le professeur de maths était un bon danseur - il possédait des algorithmes.,Le professeur de maths était un bon danseur - il possédait des algorithmes.,1417,0,Le chercheur en physique écrivait des articles - il maîtrisait les équations.,
en_2662,Il y avait un panneau sur la pelouse dans un centre de traitement de la drogue qui disait : « Ne vous approchez pas de l'herbe ».,Il y avait un panneau sur la pelouse dans un centre de traitement de la drogue qui disait : « Ne vous approchez pas de l'herbe ».,1418,0,Il y avait un panneau dans un parc indiquant : « Ne marchez pas sur le gazon ».,
en_2662,"Il y avait un panneau sur la pelouse d'un centre de re - habillage de médicaments qui disait ""Ne touchez pas à l'herbe"".",Il y avait un panneau sur la pelouse d'un centre de re - habillage de médicaments qui disait Ne touchez pas à l'herbe.,1419,0,Un avis était affiché dans le jardin d'une clinique de réhabilitation demandant de respecter les espaces verts.,
en_2664,"Les vieux boulangers ne meurent jamais, ils ne sont juste plus très fougasses.","Les vieux boulangers ne meurent jamais, ils ne sont juste plus très fougasses.",1420,0,"Les vieux artisans quittent souvent, transmettant leurs méthodes secrètes pour préserver le savoir-faire.","Older craftsmen often leave, passing on their secret methods to preserve the expertise."
en_2664,"LES VIEUX HOMMES DE PAIN ne meurent jamais, ils perdent juste leur pâte.","LES VIEUX HOMMES DE PAIN ne meurent jamais, ils perdent juste leur pâte.",1421,0,"LES VIEILLES ÂMES DE CE MONDE ne s'effacent pas, elles se fondent simplement dans la terre.",
en_2664,"Les vieux boulangers ne meurent jamais, ils arrêtent juste de gagner leur croute.","Les vieux boulangers ne meurent jamais, ils arrêtent juste de gagner leur croute.",1422,0,"Les anciens explorateurs restent présents, mais ne parcourent plus les mers vastes.",
en_2664,"Les vieux boulangers ne meurent jamais, ils perdent juste leur pâte.","Les vieux boulangers ne meurent jamais, ils perdent juste leur pâte.",1423,0,"Les vieux artisans demeurent toujours, ils sont là pour longtemps.",
en_2665,"Les vieux pyromanes ne meurent pas, ils tentent de rallumer la flamme.","Les vieux pyromanes ne meurent pas, ils tentent de rallumer la flamme.",1424,0,"Les vieux provocateurs persistent, ils tentent de raviver la chaleur intense.",
en_2665,"Les vieux pyromanes ne meurent jamais, ils perdent juste leur étincelle.","Les vieux pyromanes ne meurent jamais, ils perdent juste leur étincelle.",1425,0,"Les vieux bâtisseurs ne s'éteignent pas, ils partagent seulement leur expertise.",
en_2665,"Les vieux pyromanes ne meurent jamais, ils perdent juste la flamme dans leurs regards.","Les vieux pyromanes ne meurent jamais, ils perdent juste la flamme dans leurs regards.",1426,0,"Les anciens artistes vivent éternellement, leurs œuvres demeurent dans les mémoires.",
en_2666,Deux sociétés minières ont fusionné pour devenir des alliages.,Deux sociétés minières ont fusionné pour devenir des alliages.,1427,0,Deux entreprises technologiques ont uni leurs forces pour former une seule entité.,
en_2666,Deux compagnies minières se sont fusionnées pour former des alliages.,Deux compagnies minières se sont fusionnées pour former des alliages.,1428,0,Deux entreprises pharmaceutiques ont fusionné pour créer des traitements.,
en_2666,Deux sociétés minières ont fusionné et sont devenues des alliages.,Deux sociétés minières ont fusionné et sont devenues des alliages.,1429,0,Deux entreprises pétrolières ont uni leurs forces et ont créé une nouvelle entité.,
en_2666,C'est deux entreprises d'exploitations minières ne s'appréciaient guères mais choisirent quand même de fusionner leurs activités. C'était un alliage de raison.,C'est deux entreprises d'exploitations minières ne s'appréciaient guères mais choisirent quand même de fusionner leurs activités. C'était un alliage de raison.,1430,0,"Ces deux sociétés minières ne s'entendaient pas bien, mais décidèrent tout de même de regrouper leurs activités. C'était une décision stratégique.","These two mining companies did not get along well, but nevertheless decided to merge their activities. It was a strategic decision."
en_2666,Deux sociétés minières ont décidé de fusionnés leurs forces et de former un alliage.,Deux sociétés minières ont décidé de fusionnés leurs forces et de former un alliage.,1431,0,Deux entreprises pétrolières ont choisi de combiner leurs ressources pour créer une entité commune.,
en_2666,Deux compagnies minières ont fusionnées et fait alliage.,Deux compagnies minières ont fusionnées et fait alliage.,1432,0,Deux compagnies aériennes ont joint leurs ressources et collaboré.,
en_2666,Deux usines de métal ont fusionné. Les locaux ont fière ALUre.,Deux usines de métal ont fusionné. Les locaux ont fière ALUre.,1433,0,Deux entreprises de métallurgie ont uni leurs forces. Les installations sont impressionnantes.,
